step,domain,patched_train_loss,baseline_train_loss,delta_vs_baseline
57,reviews,4.311061859130859,4.317841053009033,0.006779193878173828
58,paper,4.109827995300293,4.361802101135254,0.25197410583496094
59,code,2.4048845767974854,2.420835018157959,0.015950441360473633
60,math,1.749577522277832,1.7602726221084595,0.010695099830627441
61,wiki,3.9002938270568848,4.002612590789795,0.10231876373291016
62,news,3.5050644874572754,3.680600881576538,0.1755363941192627
63,reviews,3.21437668800354,3.2416329383850098,0.027256250381469727
64,paper,3.999924421310425,4.427338600158691,0.4274141788482666
65,code,1.6109306812286377,1.634552001953125,0.023621320724487305
66,math,2.351006269454956,2.3850631713867188,0.034056901931762695
67,wiki,3.8954997062683105,3.9153082370758057,0.019808530807495117
68,news,4.055388927459717,4.252934455871582,0.19754552841186523
69,reviews,4.023891925811768,4.0187153816223145,-0.005176544189453125
70,paper,3.646570920944214,3.7695224285125732,0.12295150756835938
71,code,1.9592859745025635,2.005925416946411,0.046639442443847656
72,math,1.6695773601531982,1.6837501525878906,0.014172792434692383
73,wiki,4.373854637145996,4.509671211242676,0.1358165740966797
74,news,4.161888122558594,4.265488624572754,0.10360050201416016
75,reviews,3.298797130584717,3.3385889530181885,0.03979182243347168
76,paper,4.035643577575684,4.22328519821167,0.18764162063598633
77,code,1.0814558267593384,1.1070549488067627,0.025599122047424316
78,math,2.1259171962738037,2.132467031478882,0.006549835205078125
79,wiki,4.767488956451416,4.812352180480957,0.044863224029541016
80,news,3.604952096939087,3.702458620071411,0.09750652313232422
81,reviews,2.9425137042999268,2.942009687423706,-0.0005040168762207031
82,paper,3.37353515625,3.570380687713623,0.19684553146362305
83,code,1.3026930093765259,1.3430171012878418,0.04032409191131592
84,math,2.0753350257873535,2.065375804901123,-0.009959220886230469
85,wiki,2.946033000946045,3.169644355773926,0.22361135482788086
86,news,4.364166736602783,4.383448600769043,0.019281864166259766
87,reviews,4.200042247772217,4.199249744415283,-0.0007925033569335938
88,paper,3.1228156089782715,3.5520429611206055,0.429227352142334
89,code,1.444560170173645,1.4710465669631958,0.02648639678955078
90,math,1.7017102241516113,1.7176923751831055,0.01598215103149414
91,wiki,2.947495222091675,2.9560739994049072,0.008578777313232422
92,news,4.027136325836182,4.1083478927612305,0.08121156692504883
93,reviews,3.644651412963867,3.72135853767395,0.07670712471008301
94,paper,3.321709156036377,3.7729263305664062,0.4512171745300293
95,code,1.7887476682662964,1.8101603984832764,0.02141273021697998
96,math,2.1471023559570312,2.191082239151001,0.04397988319396973
97,wiki,3.4793176651000977,3.631711483001709,0.15239381790161133
98,news,2.9508426189422607,3.053400993347168,0.10255837440490723
99,reviews,4.176505088806152,4.1927337646484375,0.016228675842285156
100,paper,3.8698740005493164,4.314138412475586,0.44426441192626953
101,code,1.2648173570632935,1.3099403381347656,0.04512298107147217
